Age,Income,Employment Duration,Debt,Credit Score,Number of Dependents,Marital Status,Loan Amount Requested,Loan Duration,Loan Approval
27,14921,8,2755,601,3,Divorced,2543,22,1
36,1126,16,3624,369,3,Married,3876,11,0
63,6602,0,2732,842,2,Single,9208,33,0
51,18575,2,6473,392,5,Divorced,1334,14,0
50,13581,25,6351,462,1,Married,1123,32,0
40,16997,30,1693,380,2,Married,1547,40,0
45,18750,25,684,362,1,Divorced,2064,51,0
49,10211,22,2919,735,3,Divorced,4482,11,1
24,15997,29,7166,347,1,Single,13943,9,0
46,7671,9,3756,744,2,Single,5940,21,1
25,13271,7,5454,373,0,Single,996,28,0
18,9876,24,3283,841,0,Divorced,11121,53,1
20,3887,21,4691,456,1,Married,10955,28,0
41,10654,14,6828,786,5,Married,1042,34,0
40,5086,40,7350,565,2,Divorced,1415,46,0
25,19645,9,1156,555,4,Single,2301,9,1
64,5180,19,3061,338,0,Married,11774,45,0
54,3841,40,7157,354,3,Married,581,45,0
20,7040,22,5919,327,2,Single,13781,29,0
50,11304,0,5893,417,2,Married,1679,11,0
45,5758,1,4445,669,0,Single,8857,45,0
64,18010,18,6436,508,4,Married,10947,11,1
25,17234,13,1292,615,3,Married,2571,19,1
51,6014,7,9752,692,4,Married,9498,19,0
52,2375,37,9175,743,3,Single,7530,55,0
49,2181,11,7902,558,0,Married,11430,50,0
41,1490,25,2067,497,2,Married,831,52,0
31,4729,26,1979,744,3,Married,14373,40,1
49,6974,28,1736,604,2,Divorced,7645,11,1
63,19324,14,1918,638,1,Married,12282,28,1
60,2882,0,700,828,1,Married,10226,25,0
33,3987,27,4046,353,0,Single,14404,22,0
21,6585,2,2073,411,0,Single,7479,25,0
54,4159,17,4661,718,5,Divorced,8872,53,0
38,5530,33,394,604,0,Single,10008,11,1
31,18065,31,3048,737,1,Single,6612,45,1
48,2073,28,3452,384,3,Single,9798,33,0
65,14743,24,522,823,4,Divorced,2089,18,1
35,19771,25,9754,551,0,Divorced,14925,34,1
24,3693,38,8741,425,4,Married,2986,50,0
27,10562,7,1468,704,4,Married,6334,25,1
24,5340,18,6230,603,1,Single,3090,22,0
50,3156,21,8116,327,5,Married,10932,58,0
40,17184,28,9024,565,3,Married,9179,60,0
38,8966,32,6811,351,1,Divorced,9303,59,0
36,3580,37,1421,810,0,Divorced,3920,40,1
65,8257,34,7987,506,1,Married,5708,50,0
36,3159,2,285,810,1,Married,11886,44,1
53,17172,18,2745,500,1,Married,10089,57,1
46,14900,9,7108,583,0,Single,7714,42,1
35,12440,26,4464,656,0,Divorced,1956,48,1
19,15678,14,1445,346,1,Married,10885,28,0
18,15436,10,5837,436,1,Married,11766,23,0
64,13021,25,1466,429,4,Single,10029,41,0
22,7772,23,9968,494,3,Divorced,13114,25,0
37,2627,12,7167,663,4,Single,10892,59,0
28,12664,31,9106,731,5,Single,4997,12,0
59,9219,36,8479,368,3,Married,3367,41,0
19,19369,3,4426,757,5,Single,5083,47,1
20,10713,12,5932,839,3,Single,12574,6,0
40,9488,8,9996,634,1,Married,10806,54,0
29,3181,33,1178,825,4,Divorced,10828,42,1
37,12594,36,2551,315,3,Married,5754,54,0
22,19680,6,4370,755,5,Divorced,6845,40,1
54,8164,0,9780,809,3,Single,7071,46,0
55,19981,11,6322,508,0,Single,7583,8,1
47,1901,20,9967,457,3,Married,5798,40,0
26,10290,10,4862,636,1,Married,578,34,1
51,19061,13,9179,540,2,Married,14408,14,1
61,3881,33,5855,357,0,Single,6152,42,0
52,14058,33,1203,604,2,Single,877,47,1
39,6622,24,7349,644,1,Divorced,664,52,0
61,2378,3,6386,313,2,Married,14351,30,0
41,18632,25,1119,658,3,Single,13536,17,1
34,6650,15,8388,676,2,Divorced,8467,43,0
27,13433,9,3975,542,4,Married,10412,12,1
47,10456,1,8717,444,1,Married,11676,12,0
63,8036,34,9602,714,4,Divorced,6441,60,0
40,7487,18,1292,693,2,Divorced,8846,9,1
49,18442,5,9386,657,4,Divorced,1646,50,0
34,19432,18,3655,457,0,Single,9755,52,0
34,5248,7,4786,317,2,Married,2716,36,0
31,19860,13,2217,646,5,Married,11531,55,1
26,5603,9,6590,357,4,Divorced,5949,55,0
57,13632,2,1017,454,3,Single,1963,44,0
19,1220,37,5176,786,2,Divorced,3970,15,0
62,15226,28,3590,830,5,Single,2016,53,1
42,5818,14,8239,786,0,Married,11742,28,0
56,8349,22,9019,450,3,Married,4923,31,0
26,6618,22,6176,658,2,Single,2026,28,0
39,10856,17,6647,667,3,Married,12302,34,0
60,5576,18,4722,346,2,Married,11084,13,0
63,19255,27,6015,506,2,Divorced,1288,24,1
21,16207,25,5122,749,1,Single,7020,34,1
43,2462,9,7683,782,4,Married,14106,48,0
46,16905,3,2089,442,2,Married,7921,58,0
62,17252,1,2056,699,0,Single,7077,11,1
51,9236,2,9010,396,5,Married,3048,34,0
40,8813,6,3680,346,4,Single,7752,29,0
54,3068,15,4885,490,1,Single,13349,15,0
28,6753,30,3114,439,4,Divorced,5108,56,0
23,8237,9,7383,530,4,Single,9207,19,0
35,15175,18,1629,639,2,Divorced,14327,57,1
38,7191,27,1543,790,0,Married,7140,11,1
59,18898,16,7512,348,2,Single,7245,9,0
53,19982,27,5769,752,0,Divorced,3562,57,1
58,15622,18,1904,615,0,Single,5781,20,1
55,2001,36,1436,621,3,Married,5262,42,0
51,18417,22,5031,386,2,Divorced,14338,53,0
34,15877,19,3317,773,1,Divorced,10259,44,1
54,11232,12,4116,581,5,Divorced,10140,33,1
42,5476,12,9190,373,4,Married,1466,7,0
55,17862,10,9623,752,3,Divorced,6576,18,0
29,1515,14,4552,346,1,Married,6194,7,0
40,13478,16,5563,395,5,Married,14768,46,0
59,2191,27,6123,330,5,Single,9055,37,0
39,11860,18,3061,833,2,Married,607,57,1
38,14448,3,8089,316,0,Divorced,7681,10,0
44,7297,21,8456,511,2,Divorced,11786,8,0
48,17655,21,3731,534,5,Married,9314,7,1
23,9334,36,6327,691,2,Married,4916,19,0
44,7008,38,3317,653,3,Single,1009,45,1
57,8987,33,2046,604,1,Single,7315,57,1
51,4332,32,3144,849,5,Divorced,9756,49,0
29,1787,39,3221,839,3,Married,4365,54,0
62,7222,32,5064,808,1,Divorced,8995,34,0
24,10873,11,9445,694,3,Married,9660,53,0
27,18006,1,722,730,4,Divorced,10130,43,1
62,4676,27,7775,476,0,Divorced,12213,11,0
34,3572,9,7564,705,0,Divorced,4371,55,0
43,7915,21,8275,600,0,Married,6013,39,0
38,6033,16,4835,744,4,Single,7008,13,0
45,8788,25,3819,426,5,Single,13776,60,0
63,16689,2,3364,648,5,Married,7664,51,1
19,12452,6,9949,320,4,Single,4000,7,0
60,5712,7,6089,719,0,Divorced,2699,31,0
18,1066,19,4318,451,0,Married,13046,22,0
53,16855,11,6936,459,1,Married,4401,29,0
43,13478,34,2780,779,1,Single,8258,36,1
46,8533,16,7398,742,2,Single,6570,21,0
38,16103,27,2452,395,3,Divorced,2770,55,0
28,5616,40,5288,651,1,Married,5885,26,0
57,14277,9,8520,374,1,Single,729,43,0
28,18524,21,425,658,1,Married,2986,31,1
53,6730,37,8961,432,1,Divorced,8841,22,0
56,11724,32,3975,699,4,Divorced,1409,55,1
57,12772,21,8799,438,2,Divorced,12220,51,0
52,17268,36,6669,545,1,Married,1477,47,1
51,13940,12,2124,590,5,Married,1134,9,1
64,17932,26,1300,411,3,Married,6489,55,0
41,15643,14,5015,469,1,Married,5217,48,0
39,1198,21,8657,539,4,Married,2690,59,0
22,17955,29,1964,636,5,Divorced,13735,53,1
50,18174,39,5567,437,0,Divorced,5689,9,0
53,10830,36,5279,535,0,Divorced,12841,24,1
64,14798,33,2360,302,2,Single,5439,43,0
37,18558,33,2039,415,0,Divorced,7581,30,0
36,12469,34,1184,771,1,Married,3974,13,1
52,1178,18,3934,430,4,Divorced,7195,23,0
60,19628,7,5794,782,2,Single,12472,56,1
34,18118,38,8172,700,5,Single,7694,23,1
62,1798,32,777,500,1,Single,2365,53,1
60,8601,27,3379,591,0,Single,798,12,1
51,3795,36,2418,641,3,Single,3239,22,0
26,13496,24,4077,515,1,Married,7201,8,1
43,5588,35,2439,665,3,Divorced,4225,27,1
19,8297,16,7804,768,5,Married,12083,20,0
26,4084,23,5269,717,3,Married,5040,36,0
26,12110,20,5587,326,5,Single,8789,41,0
57,1731,1,1989,754,2,Divorced,11889,31,0
34,2129,30,7868,313,4,Divorced,10797,53,0
18,2605,32,9258,397,0,Divorced,12964,19,0
42,12970,29,944,578,0,Single,5314,22,1
60,11937,11,8220,789,1,Married,14096,14,0
57,12362,11,1897,506,0,Divorced,6634,12,1
59,3933,23,5751,532,2,Married,4022,51,0
42,16187,23,5150,538,0,Divorced,4918,32,1
56,6074,10,1697,549,1,Divorced,7318,33,1
52,15037,12,5885,605,0,Divorced,14511,60,1
20,8099,26,1665,762,4,Divorced,8624,17,1
54,18874,7,9762,535,5,Single,8662,22,0
61,1893,9,9925,590,3,Single,5989,14,0
61,2390,7,8951,338,3,Married,6585,49,0
47,5239,19,9543,482,5,Single,9537,49,0
55,19647,7,9460,329,3,Divorced,4685,13,0
51,4432,8,1785,687,4,Married,4726,32,1
29,3371,6,5948,442,2,Married,8596,47,0
36,2515,13,2607,718,1,Married,4381,17,0
54,16906,27,8590,373,4,Divorced,8192,42,0
61,7326,1,2630,354,1,Divorced,9744,25,0
34,15605,7,7660,323,2,Married,12540,6,0
27,6586,12,9861,321,4,Single,4115,14,0
64,3917,20,238,727,0,Divorced,7305,52,1
29,16901,27,3536,331,2,Divorced,3657,29,0
33,18551,34,3861,638,3,Single,2605,39,1
41,4793,22,9338,814,4,Married,5676,41,0
36,10947,14,9749,811,2,Single,1493,9,0
25,16859,1,8491,369,2,Divorced,14205,34,0
48,2577,11,7899,387,4,Married,3596,28,0
38,10488,35,7145,518,3,Married,689,40,0
34,19604,2,5861,569,5,Single,10815,21,1
40,10164,4,248,377,3,Divorced,11110,13,0
54,2030,2,4323,309,2,Divorced,13686,32,0
33,16881,18,7101,767,1,Married,3398,44,1
23,11785,1,2860,635,5,Divorced,6356,17,1
25,7691,36,723,485,5,Married,13293,49,0
42,18297,16,569,845,2,Married,10658,9,1
35,7358,13,8411,420,4,Married,12970,52,0
42,19565,27,9586,573,4,Divorced,4749,30,1
29,2462,26,2834,709,4,Single,5888,11,0
32,16511,9,7928,657,3,Married,7546,8,1
43,11570,2,6671,397,0,Single,14741,44,0
58,16897,35,2122,540,4,Single,3911,59,1
62,12646,37,4000,413,4,Single,12638,29,0
43,16474,24,3089,786,5,Single,9738,26,1
64,8037,21,7165,540,1,Single,11265,11,0
49,10499,38,7210,455,1,Married,1105,38,0
27,14386,29,49,651,2,Divorced,1866,13,1
33,7221,20,514,343,2,Single,11618,38,0
24,8769,29,4671,611,2,Divorced,6982,53,0
34,18071,27,7749,437,4,Divorced,10650,8,0
40,15356,30,1165,735,1,Married,9756,7,1
43,19278,25,414,442,2,Single,6295,43,0
38,8389,21,1104,598,1,Divorced,1017,45,1
39,5922,20,4858,561,4,Divorced,11146,44,0
24,14639,0,3356,811,5,Single,12925,44,0
31,11003,36,2416,361,4,Married,5718,29,0
32,6178,12,5611,722,2,Married,4307,26,0
24,16240,20,5465,695,4,Single,5935,56,1
26,4968,8,8395,330,4,Divorced,11281,23,0
65,3716,16,7192,629,1,Married,2772,40,0
25,17574,20,5672,468,0,Married,2808,16,0
40,14511,30,8260,565,3,Divorced,9794,16,0
46,18719,38,8707,607,2,Divorced,5292,8,1
35,9181,21,3563,758,0,Divorced,1310,28,1
48,13995,11,6383,484,5,Divorced,12455,6,0
47,12298,5,9656,633,2,Single,13260,28,0
56,17762,15,9844,814,0,Divorced,8768,27,0
52,7380,25,8898,740,4,Married,2809,47,0
35,1615,4,9817,690,2,Divorced,8408,35,0
59,19714,8,6833,553,0,Divorced,9717,7,1
56,19138,39,4752,634,3,Single,10756,22,1
34,1463,13,8123,699,4,Single,4939,46,0
31,10158,29,3785,465,2,Divorced,13727,55,0
48,4158,25,9537,559,5,Single,11433,25,0
41,14434,28,8535,303,5,Single,13633,14,0
52,5938,18,8727,418,2,Single,13818,16,0
61,6417,7,8546,769,0,Single,6889,22,0
62,9881,22,5023,769,2,Divorced,13773,19,0
51,6603,34,982,792,4,Single,12691,23,1
20,3212,30,1345,799,1,Single,11920,23,1
54,17766,34,5691,369,5,Married,12961,49,0
60,19640,31,6002,669,0,Divorced,4058,55,1
57,12695,4,526,480,3,Single,8508,13,0
43,18796,15,6647,304,2,Married,1345,34,0
40,10775,16,7252,496,4,Single,9384,13,0
61,15559,31,930,346,2,Divorced,12740,31,0
56,7146,37,2282,439,3,Married,13796,33,0
32,1371,31,1946,839,4,Married,1832,13,0
21,6565,19,3360,726,3,Divorced,11729,25,0
46,9802,1,9785,609,4,Married,13024,52,0
39,9307,19,8112,573,1,Married,6800,13,0
42,8437,17,2925,838,5,Single,1774,19,1
30,1446,0,3625,689,4,Married,7666,18,0
35,2391,28,5469,758,3,Divorced,9936,60,0
50,12516,28,1223,660,0,Single,837,45,1
33,18724,18,7110,368,5,Married,3794,22,0
62,16454,39,9157,730,1,Single,14022,56,0
59,12891,5,4992,331,2,Divorced,836,31,0
61,15998,38,8814,812,1,Married,13945,11,0
19,6969,7,4787,481,1,Divorced,2367,22,0
52,10265,23,6818,547,2,Divorced,12697,9,0
59,16861,19,4726,596,4,Married,7414,30,1
51,6454,13,2372,329,1,Married,994,12,0
47,4150,4,3299,601,5,Single,5142,22,0
30,16386,40,9360,775,1,Divorced,4386,27,0
30,7414,39,6451,651,0,Married,8852,59,0
35,5657,33,8583,781,5,Divorced,2536,33,0
49,11486,15,3809,616,0,Married,10433,55,1
49,15894,6,2407,696,5,Divorced,10199,11,1
52,6480,15,4864,388,3,Single,14313,35,0
56,9033,6,5027,533,2,Divorced,5583,15,0
63,1983,26,4260,467,5,Married,4060,55,0
46,9543,13,4828,425,5,Single,10067,44,0
46,10916,13,8772,419,4,Single,10245,19,0
61,11143,32,9012,727,4,Married,2781,59,0
33,16581,32,9439,489,3,Single,14811,51,0
61,2907,19,8315,727,4,Divorced,14705,47,0
64,10216,35,1874,501,4,Divorced,10560,27,1
27,9737,6,8715,358,0,Married,2101,46,0
47,14757,31,3123,522,4,Divorced,12519,31,1
42,5174,2,4224,791,4,Married,12172,15,0
56,16708,38,5254,310,3,Single,1799,7,0
37,10297,28,3198,811,3,Divorced,9402,8,1
22,2990,23,7082,609,1,Married,14264,53,0
18,6596,21,1210,333,4,Divorced,13829,47,0
47,17374,5,9218,639,4,Single,4667,60,0
20,4775,23,5404,780,5,Single,2546,16,0
62,19445,39,4117,392,4,Divorced,3381,15,0
31,16706,22,5429,432,0,Single,5974,17,0
47,15645,37,8689,718,5,Married,2317,19,0
21,14668,9,9885,767,4,Divorced,2698,35,0
35,16960,15,4758,743,0,Divorced,3832,46,1
54,12357,10,8182,329,1,Single,1603,18,0
42,5435,31,8916,597,5,Married,3677,35,0
65,16804,5,375,360,2,Divorced,12286,43,0
18,18429,23,7413,757,4,Divorced,12166,16,1
63,15626,32,4398,603,5,Single,5315,6,1
32,8951,11,3859,639,3,Single,14803,32,1
26,7449,26,1686,747,5,Married,14719,52,1
32,4199,37,5012,601,3,Married,2677,44,0
41,7768,17,256,839,4,Single,1694,48,1
21,10130,38,3600,784,0,Married,5001,54,1
29,9633,12,50,376,3,Single,6541,42,0
54,19934,39,6590,814,5,Divorced,13844,14,1
54,5225,29,7437,848,5,Single,9227,53,0
60,17980,40,594,391,3,Single,7560,48,0
23,7054,12,4731,765,1,Single,9761,31,0
56,2505,33,3873,765,1,Divorced,13061,30,0
63,10053,35,9264,339,1,Married,14554,22,0
41,16749,29,5748,628,3,Married,8824,11,1
28,11832,24,5237,584,3,Married,763,20,1
30,17344,1,1476,365,5,Single,4962,8,0
51,15783,35,4870,408,4,Single,7468,36,0
42,2551,17,8032,714,4,Married,2552,33,0
24,16154,4,3020,391,0,Divorced,5446,14,0
21,14799,18,6066,667,3,Divorced,6325,49,1
25,7852,17,8053,722,4,Divorced,14232,56,0
37,2449,31,9856,539,4,Divorced,14157,23,0
46,3659,20,9587,734,1,Single,6544,53,0
62,8509,9,8066,511,1,Married,4589,45,0
63,3721,36,8167,699,1,Divorced,14904,37,0
27,13444,21,4780,825,2,Single,11539,24,1
60,10637,12,4045,767,4,Single,857,10,1
51,11490,16,2233,469,1,Single,14499,49,0
43,3925,8,8117,509,1,Married,6005,11,0
58,10824,23,6359,555,3,Single,4920,17,0
20,7240,13,4197,372,5,Married,9442,52,0
23,17896,7,9498,446,1,Married,3750,47,0
22,1215,36,9829,639,3,Married,13043,22,0
22,8299,18,9332,616,0,Married,7062,44,0
64,12523,27,615,453,1,Single,2758,12,0
40,11364,40,1566,554,5,Single,9602,58,1
26,4153,29,9168,650,3,Single,4310,16,0
52,2706,6,9508,846,5,Divorced,1083,39,0
37,11298,25,2339,611,1,Divorced,3938,58,1
59,2567,39,8109,433,0,Married,9268,7,0
52,11400,10,7374,428,1,Married,6857,19,0
35,11345,13,6707,735,3,Married,11268,23,0
34,2128,20,378,579,0,Married,10563,53,1
41,8867,7,3465,657,0,Married,9844,48,1
20,19749,2,6005,551,0,Divorced,6646,14,1
49,6583,27,2271,434,2,Married,5490,44,0
52,5897,28,9238,822,3,Single,2283,9,0
55,7001,22,1007,618,2,Married,1593,53,1
30,12113,17,6800,379,5,Single,10791,19,0
64,5567,34,109,490,0,Single,5032,16,0
42,10271,12,2771,752,2,Single,5617,35,1
26,15348,11,3883,643,1,Single,8438,45,1
21,12703,4,2600,329,2,Married,10833,48,0
31,14329,38,5518,713,4,Married,7246,32,1
54,3741,10,3243,667,5,Married,2633,34,0
51,7256,10,1005,801,0,Married,9209,57,1
28,1228,30,305,320,0,Married,9433,37,0
58,17678,30,5701,848,5,Divorced,6620,54,1
20,5284,12,958,545,5,Single,2977,35,1
45,14264,13,9145,582,3,Single,5458,31,0
46,14390,24,5270,531,1,Divorced,6637,35,1
26,1918,32,7595,615,5,Divorced,3376,56,0
20,12445,32,3538,635,5,Married,542,15,1
42,1498,14,7020,710,3,Married,14635,17,0
51,3809,15,1630,544,5,Single,6329,38,1
29,5961,37,9983,686,2,Married,3941,39,0
59,10017,5,2603,657,4,Single,9095,23,1
26,4779,24,8258,321,4,Married,10018,44,0
32,11050,14,9026,318,4,Married,13993,21,0
57,3118,3,205,586,5,Single,10908,50,1
42,7391,3,9906,575,4,Divorced,6846,9,0
22,1145,29,9724,371,1,Divorced,7349,15,0
28,14929,33,5691,664,2,Married,7186,33,1
51,15917,26,6141,634,4,Divorced,10841,46,1
41,5565,30,3145,498,0,Married,14387,23,0
32,17576,31,3120,316,5,Divorced,11085,14,0
55,7637,38,6728,517,2,Divorced,3150,27,0
25,9243,8,8899,446,1,Single,13229,15,0
22,3410,40,6030,509,4,Divorced,4845,45,0
65,2820,7,178,713,1,Married,1377,28,1
43,3521,13,5167,629,5,Single,2386,48,0
35,19952,32,112,651,4,Divorced,1803,18,1
23,6882,22,8948,462,0,Single,2240,29,0
54,2867,20,9088,400,2,Divorced,1612,18,0
65,8465,11,8350,626,0,Married,4376,53,0
30,12461,1,8977,626,4,Married,6540,50,0
45,7103,12,1803,454,3,Single,7952,30,0
22,13197,3,2298,309,2,Divorced,10590,49,0
30,16424,19,1542,652,1,Divorced,6618,52,1
34,17053,13,7259,482,4,Single,8939,34,0
57,1240,29,2154,754,0,Single,7295,21,0
62,5631,28,8766,305,5,Married,7544,45,0
49,10599,7,1381,632,3,Single,11952,11,1
46,12694,11,5902,632,5,Divorced,14926,13,1
20,6077,40,1222,557,4,Single,1067,39,1
57,4768,37,1501,510,1,Married,12501,23,1
51,10142,25,9050,350,0,Single,14657,48,0
57,8995,1,3574,744,2,Divorced,6458,37,1
44,14276,39,3729,676,3,Single,9880,54,1
30,13746,13,7740,785,4,Single,11287,15,0
62,12475,5,3191,350,4,Single,1853,39,0
50,19557,39,9788,453,4,Married,12304,28,0
23,7568,30,7476,609,4,Married,14915,24,0
41,3601,16,1561,698,0,Married,5529,25,1
36,7080,24,2522,433,2,Married,9672,57,0
33,14854,31,2391,519,1,Divorced,5465,57,1
57,3159,11,2675,462,3,Divorced,668,39,0
45,9313,12,2183,801,4,Married,8212,43,1
50,5368,18,8468,414,5,Married,11856,22,0
65,2317,24,8066,798,4,Married,3171,49,0
58,14272,30,2078,771,2,Single,878,10,1
30,2230,36,4342,448,2,Divorced,14020,7,0
60,18517,24,1120,540,0,Single,2432,46,1
62,2301,15,5419,422,0,Married,14713,39,0
42,16927,37,3370,368,5,Divorced,693,59,0
59,2910,22,1908,362,5,Married,8955,25,0
53,15904,13,3520,315,0,Single,14058,51,0
44,9107,5,4307,689,3,Divorced,14441,59,1
55,19300,24,4496,557,5,Single,10163,52,1
24,3757,22,4750,516,0,Divorced,10707,7,0
22,7464,11,497,778,4,Married,14551,33,1
60,17562,12,6991,413,0,Divorced,5116,23,0
62,10088,35,3587,679,3,Single,5514,49,1
48,16124,38,2413,536,0,Single,8378,44,1
40,15260,33,3800,775,0,Single,1800,53,1
59,10743,5,8654,428,4,Single,3700,56,0
27,9683,37,6171,809,5,Married,3873,40,0
49,1060,39,3457,464,4,Single,9265,20,0
60,10269,7,8464,576,4,Married,10229,52,0
47,3895,7,6969,556,0,Divorced,1883,44,0
56,16323,39,1150,431,4,Single,10072,45,0
48,13352,32,7454,556,2,Divorced,4037,44,0
35,12875,33,5207,440,1,Divorced,8424,8,0
53,17969,14,18,508,1,Married,11851,24,1
19,6823,35,9808,818,4,Single,10215,28,0
31,12962,34,3178,350,5,Married,5491,24,0
30,1534,21,5577,802,3,Single,5702,23,0
46,5011,22,4081,558,4,Divorced,13304,35,0
29,3155,39,6454,477,5,Married,4432,44,0
56,7957,21,8603,842,4,Single,13811,24,0
19,10196,4,8933,655,0,Divorced,4122,10,0
49,11691,30,2671,617,5,Married,9587,60,1
30,14327,12,6387,663,3,Married,12085,18,1
63,3706,27,6833,354,4,Married,964,39,0
44,1001,19,2624,455,2,Married,8480,29,0
58,10225,32,5499,343,5,Divorced,2110,23,0
34,18488,15,514,841,1,Divorced,9304,9,1
57,15820,28,206,621,5,Divorced,11904,41,1
48,11891,22,947,313,2,Divorced,1104,13,0
51,2861,23,1828,656,2,Single,14442,48,0
41,6269,33,6861,782,2,Divorced,8467,6,0
62,12112,6,6094,658,3,Married,1120,46,0
52,16699,37,6345,617,3,Married,3102,43,1
65,9320,36,2167,374,5,Married,10875,41,0
23,17821,3,7979,493,3,Married,6973,43,0
36,11740,33,5926,662,1,Single,4300,18,0
47,4129,21,6532,395,0,Married,7598,27,0
24,18285,4,5656,339,5,Married,7038,34,0
27,15380,22,5943,696,4,Married,655,14,1
58,12360,14,9848,406,4,Divorced,8660,32,0
49,6398,30,8793,316,5,Divorced,12045,51,0
51,6529,8,5439,826,0,Single,12603,49,0
45,4918,24,8903,798,4,Single,11609,9,0
32,18451,24,1203,824,5,Single,7181,45,1
47,17410,20,7000,342,5,Married,11809,22,0
54,7937,8,9583,649,2,Single,3215,59,0
46,8118,37,6639,329,1,Divorced,4839,42,0
39,17931,21,7689,740,4,Divorced,8570,8,1
21,11860,22,7513,841,1,Divorced,7190,9,0
37,6338,3,6626,754,5,Married,949,45,0
49,13472,28,7386,393,0,Married,13541,21,0
53,4140,14,3131,594,5,Single,13193,16,0
21,8996,0,7134,848,4,Single,12653,32,0
44,16489,29,3730,388,1,Single,1569,31,0
34,18974,28,2666,802,2,Single,4517,36,1
29,15201,19,549,513,2,Married,13536,39,1
39,8776,32,4741,721,5,Divorced,12283,13,0
34,5943,40,1244,825,0,Married,3319,44,1
27,13886,35,4012,491,3,Single,14082,6,0
18,9997,21,9037,523,4,Married,14367,7,0
39,8798,12,6196,686,5,Divorced,2785,60,0
43,18741,6,4545,773,2,Married,10727,32,1
35,9092,7,6205,502,2,Divorced,9882,50,0
31,4225,27,7190,746,0,Single,1899,48,0
64,12810,8,8235,367,2,Married,12432,8,0
46,15914,24,658,391,4,Single,2748,39,0
29,3460,15,6995,477,0,Single,11485,21,0
53,9737,9,5776,302,1,Divorced,6875,6,0
52,14920,10,5293,402,0,Divorced,1223,12,0
29,11754,30,1691,572,4,Single,10133,40,1
24,11833,11,9557,833,4,Divorced,5773,27,0
46,4114,30,7735,415,1,Divorced,8035,53,0
28,18000,13,3130,763,5,Single,5320,37,1
50,16360,31,7044,403,0,Single,586,31,0
23,18587,16,4533,558,4,Divorced,8197,11,1
64,10951,34,5547,607,4,Single,7346,51,0
32,3565,0,967,666,1,Single,4649,60,0
49,4174,28,1404,601,3,Divorced,2251,16,1
28,3630,3,8677,326,0,Married,5661,36,0
40,4161,22,9947,807,4,Married,3920,59,0
43,5321,27,3630,826,2,Single,14041,60,0
51,14204,15,2968,664,1,Divorced,5337,26,1
63,8099,11,7269,597,3,Single,2983,56,0
51,12360,20,1579,660,3,Divorced,3712,27,1
46,11313,16,5992,803,1,Single,4422,6,0
21,14502,39,50,329,3,Single,14660,26,0
34,6801,12,6452,738,4,Divorced,11181,50,0
52,15130,31,5153,639,3,Single,6810,25,1
30,15271,36,9851,425,0,Married,6542,14,0
58,17075,14,6023,665,2,Married,8513,32,1
56,5151,11,4300,742,4,Divorced,10178,34,0
32,9911,14,2787,562,1,Single,4027,48,1
46,19984,33,2155,521,2,Married,8764,38,1
46,13861,5,7019,301,5,Divorced,9416,50,0
28,1666,16,5360,693,4,Divorced,4254,57,0
49,17667,19,4230,605,2,Divorced,8662,6,1
19,6840,8,9806,445,3,Married,11687,8,0
64,4565,4,7607,829,5,Married,4865,37,0
31,11426,22,8598,827,1,Married,8910,25,0
37,18849,32,4197,607,1,Married,1046,22,1
39,8366,37,9576,639,0,Single,4229,42,0
28,16630,13,5412,651,3,Married,7850,43,1
44,8382,16,4499,508,0,Divorced,13889,54,0
20,17149,18,4909,504,0,Single,6384,15,1
34,16871,32,7169,314,3,Married,2468,48,0
61,14273,0,9821,727,4,Single,14715,50,0
45,1992,12,3262,775,5,Divorced,5016,34,0
46,7858,26,9218,597,0,Married,1759,47,0
38,3121,5,2989,393,2,Single,14645,51,0
64,13388,5,7654,406,5,Married,7492,37,0
33,19607,32,2224,718,4,Single,8256,18,1
54,5136,29,5376,577,3,Single,3433,36,0
37,17727,34,2920,427,1,Divorced,3009,9,0
23,13653,22,7701,758,4,Divorced,12700,57,0
36,16479,9,6541,337,0,Married,12764,54,0
22,5823,18,5615,497,2,Married,13372,23,0
20,5920,27,4315,656,5,Single,2062,16,0
18,6471,22,6100,306,3,Divorced,10777,47,0
55,18272,3,2783,631,1,Divorced,10481,58,1
32,10533,19,9605,818,5,Single,8575,23,0
51,8127,18,2808,493,2,Divorced,4169,56,0
52,4720,26,3331,615,1,Divorced,14680,46,0
42,16696,33,2178,300,3,Single,2981,42,0
41,19799,3,797,361,5,Married,12122,38,0
29,19122,37,2846,642,4,Married,7698,42,1
35,2364,6,929,317,0,Married,704,8,0
32,3708,6,4818,670,3,Single,1241,6,0
61,13982,25,3091,534,2,Married,13992,24,1
33,18308,25,2262,368,4,Single,14875,11,0
44,1151,18,9525,746,5,Single,11580,15,0
25,18296,8,9466,307,1,Divorced,12186,42,0
63,3321,19,7549,761,4,Divorced,7549,17,0
42,14865,15,3480,610,4,Married,4763,49,1
34,1495,16,3342,433,2,Single,8337,22,0
46,12987,21,6053,684,0,Married,5237,32,1
25,3148,12,7574,355,4,Married,1605,7,0
32,1556,11,7859,659,4,Divorced,7330,58,0
44,14393,9,9409,413,0,Married,10515,30,0
63,2552,0,9656,387,0,Married,11339,51,0
24,19504,31,4174,437,1,Divorced,4697,49,0
20,4085,29,7147,407,5,Married,588,33,0
