Age,Gender,Race,Marital Status,Education Level,Years of Experience,Skills Score,Culture Fit Score,Job Role Applied For,Hiring Decision
25,Male,Hispanic,Married,PhD,13,2,6,HR,Not Hired
28,Non-Binary,Other,Divorced,High School,5,5,9,Management,Not Hired
58,Prefer not to say,Hispanic,Single,Master's,13,4,7,Engineer,Not Hired
54,Female,Asian,Single,Bachelor's,11,7,3,Marketing,Not Hired
31,Non-Binary,White,Divorced,Master's,26,6,3,Marketing,Hired
47,Female,Asian,Single,Bachelor's,25,3,1,Sales,Not Hired
52,Male,White,Single,High School,11,9,8,Management,Hired
38,Non-Binary,Black,Divorced,PhD,7,4,1,Marketing,Not Hired
54,Male,Prefer not to say,Married,Bachelor's,9,5,2,HR,Not Hired
22,Female,Hispanic,Divorced,Bachelor's,15,3,7,Management,Not Hired
36,Female,Black,Divorced,High School,25,8,1,Marketing,Not Hired
31,Prefer not to say,Black,Divorced,Master's,7,7,4,Engineer,Not Hired
43,Female,Prefer not to say,Divorced,PhD,40,7,9,Management,Hired
21,Male,Prefer not to say,Married,Bachelor's,28,8,8,Marketing,Hired
42,Female,White,Married,Bachelor's,19,7,8,Engineer,Hired
62,Prefer not to say,Asian,Single,PhD,16,3,3,Sales,Not Hired
59,Prefer not to say,Other,Single,High School,18,3,5,Management,Not Hired
42,Male,White,Divorced,Master's,16,2,4,Management,Not Hired
35,Non-Binary,Other,Single,PhD,38,1,8,Marketing,Hired
57,Female,Black,Married,Master's,0,5,7,Sales,Not Hired
25,Prefer not to say,Other,Single,High School,28,4,7,HR,Hired
56,Female,Asian,Single,High School,13,2,10,Marketing,Not Hired
57,Female,White,Single,PhD,16,1,10,Marketing,Not Hired
31,Non-Binary,Prefer not to say,Divorced,Bachelor's,12,3,7,HR,Not Hired
49,Prefer not to say,Asian,Single,High School,28,6,1,HR,Hired
55,Female,Asian,Married,High School,33,2,7,HR,Hired
50,Prefer not to say,White,Married,PhD,26,10,4,HR,Hired
40,Male,Prefer not to say,Married,PhD,32,7,3,HR,Hired
32,Male,Asian,Married,PhD,28,7,5,Engineer,Hired
50,Female,Prefer not to say,Single,High School,36,3,2,Engineer,Not Hired
42,Prefer not to say,Hispanic,Divorced,Master's,38,1,8,HR,Hired
34,Female,Hispanic,Married,High School,18,9,9,Sales,Hired
50,Prefer not to say,Hispanic,Married,PhD,23,5,5,Sales,Not Hired
64,Prefer not to say,Other,Divorced,Bachelor's,13,2,3,HR,Not Hired
19,Non-Binary,Asian,Divorced,Bachelor's,36,8,10,Engineer,Hired
31,Non-Binary,White,Married,PhD,4,10,7,Sales,Hired
57,Non-Binary,White,Married,Bachelor's,23,10,1,Engineer,Hired
57,Female,Other,Divorced,High School,33,4,10,Marketing,Hired
56,Non-Binary,White,Married,Master's,30,10,3,Engineer,Hired
23,Non-Binary,Hispanic,Married,High School,29,7,9,HR,Hired
23,Male,Asian,Single,PhD,8,5,2,Management,Not Hired
20,Prefer not to say,White,Divorced,High School,26,3,9,HR,Hired
24,Prefer not to say,White,Single,Bachelor's,27,10,1,Marketing,Hired
25,Non-Binary,Black,Single,High School,25,8,4,Engineer,Hired
59,Prefer not to say,Black,Divorced,Master's,17,2,10,Sales,Not Hired
32,Male,Black,Single,Bachelor's,35,1,6,HR,Hired
64,Male,Asian,Married,Master's,7,5,7,Sales,Not Hired
46,Non-Binary,Hispanic,Single,Master's,17,4,3,Engineer,Not Hired
50,Male,Prefer not to say,Divorced,Master's,19,10,9,Marketing,Hired
47,Prefer not to say,Hispanic,Married,High School,31,7,4,HR,Hired
56,Female,Hispanic,Married,High School,28,9,5,Sales,Hired
44,Prefer not to say,Asian,Married,High School,17,6,8,HR,Not Hired
53,Female,Asian,Married,High School,6,1,3,HR,Not Hired
46,Non-Binary,Black,Single,Bachelor's,0,8,8,Sales,Hired
55,Female,White,Single,High School,27,2,1,Marketing,Not Hired
50,Male,Other,Married,Bachelor's,32,4,8,HR,Hired
54,Prefer not to say,Other,Divorced,Master's,3,3,10,Marketing,Hired
44,Female,Prefer not to say,Married,Bachelor's,19,6,8,Marketing,Hired
50,Prefer not to say,White,Single,PhD,35,2,6,Engineer,Hired
21,Non-Binary,Prefer not to say,Married,High School,30,5,5,Sales,Hired
39,Non-Binary,Black,Single,PhD,37,9,9,Engineer,Hired
19,Male,Prefer not to say,Married,Bachelor's,27,3,6,Management,Not Hired
27,Non-Binary,White,Divorced,High School,2,2,1,Engineer,Not Hired
22,Female,White,Married,PhD,5,2,6,HR,Not Hired
27,Non-Binary,Other,Divorced,High School,22,9,1,HR,Not Hired
50,Male,Black,Divorced,Bachelor's,6,6,6,HR,Not Hired
55,Prefer not to say,Asian,Married,PhD,35,2,3,Management,Not Hired
30,Prefer not to say,Prefer not to say,Divorced,Bachelor's,0,3,6,Marketing,Not Hired
48,Non-Binary,Other,Divorced,PhD,5,1,6,HR,Not Hired
64,Female,Prefer not to say,Single,Master's,23,2,1,Engineer,Not Hired
53,Male,Prefer not to say,Single,Master's,36,2,9,Marketing,Hired
62,Female,Asian,Divorced,Master's,35,2,8,Engineer,Hired
41,Male,Black,Married,Master's,23,7,2,Engineer,Hired
32,Non-Binary,White,Divorced,Master's,37,3,2,HR,Not Hired
46,Male,Hispanic,Married,Bachelor's,28,4,5,Engineer,Not Hired
25,Male,Prefer not to say,Single,Master's,36,2,10,Management,Hired
22,Non-Binary,Hispanic,Married,Bachelor's,31,5,2,Marketing,Not Hired
46,Female,Black,Divorced,Master's,24,9,1,HR,Hired
64,Non-Binary,Hispanic,Divorced,High School,9,9,2,HR,Hired
21,Male,Prefer not to say,Divorced,Master's,34,7,5,Engineer,Hired
29,Non-Binary,Asian,Divorced,High School,24,8,10,Engineer,Hired
62,Male,Hispanic,Divorced,Bachelor's,26,5,7,Sales,Hired
19,Non-Binary,Black,Married,Master's,31,5,5,Sales,Not Hired
44,Prefer not to say,Black,Divorced,PhD,11,3,1,HR,Not Hired
48,Prefer not to say,Asian,Single,Bachelor's,3,6,7,HR,Not Hired
53,Non-Binary,Hispanic,Divorced,Master's,25,1,6,Engineer,Not Hired
53,Female,Hispanic,Married,Bachelor's,2,3,7,Management,Not Hired
43,Male,White,Divorced,PhD,16,2,2,Management,Not Hired
60,Prefer not to say,Other,Divorced,Master's,8,7,5,Engineer,Not Hired
44,Female,Black,Married,PhD,28,9,8,Sales,Hired
22,Male,White,Divorced,Master's,0,4,7,Sales,Not Hired
37,Prefer not to say,Black,Married,High School,17,7,6,Management,Hired
28,Prefer not to say,White,Divorced,Bachelor's,40,8,6,HR,Hired
27,Non-Binary,Other,Single,PhD,19,10,1,Engineer,Hired
57,Male,White,Divorced,Bachelor's,40,2,1,HR,Hired
55,Female,Black,Married,PhD,33,7,7,Sales,Hired
23,Female,Hispanic,Single,Bachelor's,27,3,3,Management,Hired
25,Female,Black,Married,Bachelor's,34,8,6,HR,Hired
40,Male,Prefer not to say,Divorced,Bachelor's,15,6,5,Sales,Hired
64,Female,Asian,Single,High School,20,3,3,Sales,Not Hired
43,Female,Asian,Married,Master's,12,8,6,Sales,Hired
63,Female,Prefer not to say,Single,High School,34,3,3,HR,Hired
60,Non-Binary,Asian,Single,Bachelor's,31,9,8,Marketing,Hired
29,Non-Binary,Asian,Married,PhD,37,3,7,Management,Hired
43,Male,Other,Single,Bachelor's,5,1,9,Sales,Hired
30,Male,Hispanic,Married,Master's,37,2,5,HR,Hired
57,Female,Hispanic,Single,High School,37,4,1,Engineer,Hired
35,Non-Binary,Black,Single,Master's,12,2,10,Management,Not Hired
42,Prefer not to say,Prefer not to say,Single,PhD,38,4,8,Engineer,Hired
50,Prefer not to say,White,Divorced,Master's,12,4,2,Engineer,Not Hired
64,Female,Black,Divorced,High School,11,4,6,HR,Not Hired
57,Female,Black,Married,PhD,32,1,1,Marketing,Not Hired
60,Non-Binary,Black,Single,Master's,27,9,6,HR,Hired
29,Non-Binary,Black,Married,High School,2,10,4,HR,Not Hired
61,Non-Binary,Hispanic,Divorced,High School,17,7,5,Management,Hired
53,Male,White,Divorced,Bachelor's,25,2,10,HR,Not Hired
65,Male,Black,Divorced,Master's,39,3,7,Management,Hired
21,Female,Hispanic,Divorced,PhD,1,8,6,Sales,Hired
22,Male,Black,Married,Bachelor's,3,7,1,Management,Not Hired
54,Non-Binary,Asian,Single,Master's,27,4,9,HR,Hired
25,Non-Binary,Black,Married,Master's,27,4,6,Sales,Not Hired
59,Male,Prefer not to say,Single,PhD,24,9,6,Sales,Hired
45,Prefer not to say,Prefer not to say,Divorced,Bachelor's,25,5,9,Marketing,Hired
48,Female,Black,Single,Bachelor's,1,5,10,HR,Not Hired
26,Prefer not to say,Other,Divorced,PhD,33,7,5,Engineer,Hired
46,Female,Asian,Married,Bachelor's,29,1,6,HR,Not Hired
31,Prefer not to say,White,Single,High School,20,3,6,Engineer,Not Hired
57,Male,Black,Married,PhD,36,2,7,Marketing,Not Hired
58,Female,White,Divorced,Master's,22,10,9,HR,Hired
39,Female,Asian,Married,PhD,32,6,5,Marketing,Hired
28,Female,Black,Divorced,High School,1,6,5,Engineer,Not Hired
40,Non-Binary,Other,Divorced,PhD,26,10,4,Management,Hired
18,Non-Binary,Hispanic,Divorced,Master's,21,1,10,HR,Hired
63,Prefer not to say,Other,Married,Master's,33,6,4,Sales,Not Hired
54,Male,Other,Married,PhD,15,10,8,Sales,Hired
38,Non-Binary,Hispanic,Single,PhD,19,2,2,Marketing,Not Hired
43,Female,Hispanic,Single,High School,25,4,10,Management,Hired
63,Non-Binary,Prefer not to say,Married,High School,15,6,8,Sales,Not Hired
53,Male,Hispanic,Married,Master's,5,3,2,Sales,Not Hired
40,Non-Binary,Black,Married,Bachelor's,22,3,1,HR,Not Hired
18,Female,White,Married,Bachelor's,36,3,10,Sales,Hired
57,Prefer not to say,Prefer not to say,Divorced,Bachelor's,7,4,9,Engineer,Hired
32,Female,Prefer not to say,Divorced,Bachelor's,5,9,8,Marketing,Hired
38,Male,White,Divorced,Master's,36,4,6,Sales,Hired
64,Prefer not to say,Prefer not to say,Married,Bachelor's,21,4,4,HR,Not Hired
26,Non-Binary,Hispanic,Divorced,Bachelor's,5,4,2,Engineer,Not Hired
26,Non-Binary,Other,Divorced,PhD,31,7,8,Sales,Hired
27,Non-Binary,Asian,Single,Bachelor's,16,5,3,Marketing,Not Hired
43,Prefer not to say,Hispanic,Single,PhD,37,2,10,Marketing,Hired
58,Female,Other,Divorced,Master's,16,7,4,Marketing,Not Hired
52,Prefer not to say,Other,Divorced,PhD,36,3,5,Sales,Hired
42,Prefer not to say,Prefer not to say,Divorced,High School,22,1,4,Engineer,Not Hired
43,Male,Black,Married,PhD,12,9,8,Management,Not Hired
28,Prefer not to say,Black,Single,Bachelor's,31,5,9,Marketing,Hired
55,Non-Binary,Prefer not to say,Single,PhD,21,10,1,Engineer,Hired
19,Female,Prefer not to say,Single,PhD,6,1,2,HR,Not Hired
24,Female,White,Divorced,Master's,21,1,4,HR,Not Hired
35,Female,White,Married,Master's,20,1,1,Engineer,Not Hired
44,Non-Binary,Asian,Single,Bachelor's,5,9,6,HR,Hired
51,Non-Binary,Asian,Single,High School,13,8,5,HR,Hired
44,Non-Binary,Asian,Married,High School,15,6,7,Marketing,Not Hired
34,Non-Binary,Asian,Divorced,PhD,2,10,6,Sales,Hired
60,Non-Binary,Other,Divorced,High School,8,6,3,Sales,Not Hired
61,Prefer not to say,Other,Single,Master's,20,6,5,Sales,Not Hired
41,Non-Binary,White,Single,Bachelor's,29,4,3,Sales,Not Hired
42,Non-Binary,Black,Married,Bachelor's,29,5,9,Engineer,Hired
24,Non-Binary,Prefer not to say,Single,Master's,31,10,2,Marketing,Hired
23,Non-Binary,Black,Married,Bachelor's,22,3,6,Engineer,Not Hired
41,Female,Hispanic,Single,PhD,2,3,9,HR,Hired
50,Non-Binary,Other,Single,Bachelor's,0,10,10,Marketing,Hired
46,Prefer not to say,Asian,Single,High School,2,7,7,Management,Hired
60,Prefer not to say,Asian,Divorced,Bachelor's,36,5,5,Sales,Not Hired
39,Prefer not to say,Hispanic,Married,Bachelor's,6,8,2,HR,Not Hired
43,Male,Black,Married,Master's,2,5,2,Sales,Not Hired
45,Female,Asian,Divorced,Master's,35,4,4,Sales,Not Hired
38,Non-Binary,Black,Divorced,High School,2,3,10,Sales,Hired
24,Male,Prefer not to say,Divorced,Master's,3,2,2,Management,Not Hired
34,Non-Binary,Hispanic,Married,High School,30,3,8,HR,Hired
37,Male,Black,Single,PhD,1,7,10,Sales,Not Hired
58,Male,Prefer not to say,Divorced,High School,13,8,7,Sales,Hired
37,Prefer not to say,Black,Divorced,Bachelor's,36,5,7,Marketing,Hired
39,Prefer not to say,Black,Divorced,High School,30,1,3,Sales,Not Hired
45,Male,Asian,Single,PhD,1,3,7,Marketing,Not Hired
57,Prefer not to say,White,Single,Bachelor's,30,4,8,HR,Hired
24,Male,Other,Divorced,High School,21,10,5,HR,Hired
18,Female,Black,Single,Master's,9,4,1,HR,Not Hired
49,Prefer not to say,Black,Divorced,Master's,29,1,1,Marketing,Not Hired
30,Prefer not to say,Black,Single,Master's,32,10,4,Management,Hired
47,Prefer not to say,White,Married,High School,18,9,2,Management,Not Hired
40,Female,Prefer not to say,Married,High School,24,10,7,Sales,Hired
36,Male,Hispanic,Single,PhD,0,4,3,HR,Not Hired
49,Non-Binary,Asian,Married,Bachelor's,31,2,4,Engineer,Not Hired
47,Prefer not to say,White,Married,Bachelor's,24,9,9,Sales,Hired
46,Male,Prefer not to say,Married,Bachelor's,40,4,2,Management,Hired
62,Female,Black,Divorced,Bachelor's,16,4,8,Management,Not Hired
46,Non-Binary,Prefer not to say,Single,High School,13,6,1,HR,Not Hired
47,Prefer not to say,White,Single,High School,12,8,3,Marketing,Not Hired
33,Female,White,Single,PhD,37,5,4,Sales,Hired
57,Female,White,Married,Bachelor's,38,8,6,Marketing,Hired
36,Non-Binary,Hispanic,Divorced,High School,1,1,1,Management,Not Hired
35,Male,Other,Single,High School,31,4,8,HR,Hired
18,Prefer not to say,Asian,Married,High School,31,1,2,Management,Not Hired
31,Prefer not to say,Hispanic,Divorced,High School,39,3,5,HR,Not Hired
64,Male,Hispanic,Divorced,Bachelor's,5,7,6,Engineer,Not Hired
19,Male,Other,Single,Bachelor's,24,1,8,Marketing,Not Hired
45,Male,Hispanic,Single,High School,2,5,3,Sales,Not Hired
47,Non-Binary,White,Married,Master's,17,1,9,HR,Not Hired
55,Non-Binary,White,Single,PhD,37,6,5,Engineer,Hired
21,Prefer not to say,Prefer not to say,Married,Bachelor's,2,9,8,Engineer,Hired
18,Non-Binary,Black,Divorced,Bachelor's,4,3,4,Marketing,Not Hired
25,Female,Hispanic,Divorced,Master's,23,6,9,HR,Hired
46,Prefer not to say,Black,Divorced,Bachelor's,33,4,8,Sales,Hired
56,Non-Binary,Asian,Divorced,Master's,38,6,5,Sales,Hired
20,Male,White,Single,Master's,23,2,3,Sales,Not Hired
49,Female,Prefer not to say,Single,High School,35,4,1,Management,Not Hired
27,Male,Asian,Married,Bachelor's,27,7,5,Management,Hired
27,Prefer not to say,Prefer not to say,Married,PhD,33,6,5,HR,Hired
36,Male,Other,Married,Master's,15,9,4,Sales,Hired
63,Non-Binary,White,Married,PhD,35,7,10,Engineer,Hired
51,Non-Binary,Asian,Married,High School,6,1,10,Sales,Hired
50,Prefer not to say,Other,Divorced,Bachelor's,17,6,8,HR,Hired
40,Male,Asian,Divorced,High School,5,3,3,Sales,Not Hired
45,Prefer not to say,Prefer not to say,Divorced,High School,27,8,10,Marketing,Hired
49,Male,Other,Married,PhD,38,1,9,Sales,Hired
24,Female,Other,Divorced,PhD,33,10,3,Engineer,Hired
46,Non-Binary,White,Divorced,Master's,40,2,4,HR,Not Hired
25,Prefer not to say,Black,Divorced,Bachelor's,28,3,6,HR,Hired
18,Female,Prefer not to say,Divorced,High School,3,3,9,Engineer,Not Hired
20,Female,Prefer not to say,Single,Master's,13,7,10,HR,Hired
41,Prefer not to say,Other,Married,Master's,4,8,2,Sales,Not Hired
40,Prefer not to say,Other,Married,High School,24,9,2,HR,Not Hired
25,Female,White,Single,High School,38,7,2,Sales,Hired
64,Male,Black,Divorced,Master's,7,8,5,HR,Not Hired
54,Female,Prefer not to say,Divorced,High School,14,6,6,Sales,Hired
20,Prefer not to say,Hispanic,Divorced,High School,18,2,3,Sales,Not Hired
50,Female,Hispanic,Married,PhD,10,1,3,Engineer,Not Hired
45,Male,Black,Married,Bachelor's,19,3,2,Engineer,Not Hired
64,Non-Binary,Asian,Married,Master's,35,9,6,Management,Hired
25,Non-Binary,White,Married,High School,17,7,1,Engineer,Hired
51,Female,Black,Married,Master's,13,2,9,Sales,Hired
52,Male,Hispanic,Single,Bachelor's,37,1,10,Sales,Hired
49,Non-Binary,Other,Married,Master's,24,2,4,HR,Not Hired
41,Female,Hispanic,Divorced,Master's,15,3,2,HR,Not Hired
31,Female,Other,Married,Master's,17,6,6,Management,Hired
49,Male,White,Single,PhD,0,9,5,Sales,Hired
63,Prefer not to say,Other,Divorced,Bachelor's,39,8,3,Management,Hired
60,Female,Black,Single,Bachelor's,0,10,3,Sales,Not Hired
33,Prefer not to say,Other,Divorced,Master's,0,9,5,Engineer,Hired
21,Prefer not to say,Asian,Married,Master's,20,8,4,HR,Hired
54,Non-Binary,Black,Single,Bachelor's,24,7,5,Management,Hired
38,Prefer not to say,White,Divorced,High School,26,6,2,Marketing,Not Hired
31,Male,Black,Married,PhD,9,8,1,Sales,Not Hired
48,Non-Binary,Asian,Divorced,Bachelor's,11,6,5,Engineer,Not Hired
65,Non-Binary,White,Single,Master's,27,2,1,Marketing,Not Hired
35,Non-Binary,Hispanic,Single,High School,31,9,3,Engineer,Hired
24,Female,Asian,Single,High School,32,9,8,Engineer,Hired
27,Female,White,Single,High School,7,3,8,Sales,Not Hired
24,Prefer not to say,Other,Married,PhD,25,9,9,Engineer,Hired
50,Non-Binary,Black,Divorced,PhD,40,2,1,Management,Not Hired
40,Non-Binary,White,Married,Bachelor's,1,3,4,Marketing,Not Hired
38,Male,Black,Single,Bachelor's,34,6,6,Engineer,Hired
36,Prefer not to say,Other,Divorced,Bachelor's,33,4,7,Engineer,Hired
65,Male,White,Single,Bachelor's,5,8,5,HR,Not Hired
36,Prefer not to say,Hispanic,Married,Master's,30,1,7,HR,Hired
53,Prefer not to say,Asian,Married,PhD,22,6,10,Management,Hired
46,Female,White,Married,High School,11,2,8,HR,Not Hired
35,Female,Other,Divorced,Master's,27,6,10,Engineer,Hired
19,Male,White,Divorced,Bachelor's,14,1,6,Engineer,Not Hired
18,Prefer not to say,Black,Single,Bachelor's,18,2,4,Marketing,Not Hired
64,Non-Binary,Prefer not to say,Divorced,Master's,11,9,1,HR,Hired
22,Female,White,Divorced,High School,1,6,5,Sales,Not Hired
37,Non-Binary,Hispanic,Married,PhD,10,8,10,HR,Hired
28,Male,White,Single,PhD,36,7,10,Engineer,Hired
59,Female,Asian,Married,High School,37,9,10,Marketing,Hired
19,Female,White,Single,PhD,24,9,4,HR,Hired
20,Prefer not to say,Prefer not to say,Single,Bachelor's,20,4,5,Marketing,Not Hired
40,Male,Black,Divorced,Bachelor's,35,7,4,HR,Hired
29,Prefer not to say,White,Married,Bachelor's,8,5,9,Management,Not Hired
37,Female,Hispanic,Divorced,Bachelor's,11,7,3,Engineer,Hired
22,Male,Other,Divorced,High School,9,4,3,Engineer,Not Hired
54,Female,White,Divorced,PhD,4,10,10,Sales,Hired
55,Male,White,Single,PhD,32,1,7,Engineer,Hired
47,Female,Asian,Married,Master's,4,4,2,Sales,Not Hired
26,Non-Binary,Hispanic,Married,High School,15,10,9,Engineer,Hired
51,Non-Binary,Prefer not to say,Divorced,PhD,36,3,8,HR,Hired
61,Prefer not to say,Other,Single,PhD,36,9,6,HR,Hired
52,Non-Binary,Black,Married,Master's,28,5,9,Management,Hired
39,Female,White,Married,Bachelor's,17,4,3,HR,Not Hired
61,Female,Prefer not to say,Divorced,PhD,28,8,4,Marketing,Hired
41,Non-Binary,Other,Single,Bachelor's,5,5,7,HR,Not Hired
34,Prefer not to say,Black,Divorced,Master's,17,3,1,Sales,Not Hired
27,Non-Binary,Prefer not to say,Married,PhD,31,2,1,Management,Not Hired
47,Male,Hispanic,Single,Bachelor's,30,8,1,Marketing,Not Hired
63,Male,Hispanic,Divorced,High School,10,2,8,Marketing,Not Hired
40,Male,Other,Married,Bachelor's,25,8,6,Engineer,Hired
49,Non-Binary,Black,Divorced,Bachelor's,27,5,3,Sales,Not Hired
34,Non-Binary,Hispanic,Divorced,Bachelor's,26,8,10,HR,Hired
34,Non-Binary,Other,Divorced,Bachelor's,18,5,7,HR,Hired
31,Male,Hispanic,Single,High School,26,1,6,Engineer,Not Hired
26,Prefer not to say,Hispanic,Married,Master's,19,2,5,HR,Not Hired
57,Female,Prefer not to say,Married,Bachelor's,2,6,3,Marketing,Not Hired
19,Non-Binary,Prefer not to say,Married,Bachelor's,15,3,4,HR,Not Hired
62,Prefer not to say,Hispanic,Married,PhD,38,8,1,HR,Hired
42,Female,Asian,Single,PhD,28,5,9,Marketing,Hired
56,Female,Prefer not to say,Divorced,High School,14,3,5,Sales,Not Hired
26,Female,Black,Married,High School,29,10,2,Sales,Hired
39,Prefer not to say,Other,Single,High School,39,7,9,Marketing,Hired
60,Prefer not to say,Other,Divorced,PhD,0,8,7,Marketing,Not Hired
63,Male,Black,Single,Bachelor's,28,4,8,Management,Hired
21,Prefer not to say,Black,Single,PhD,29,9,3,Management,Hired
43,Prefer not to say,Black,Married,Master's,39,6,7,HR,Hired
46,Prefer not to say,Black,Married,High School,31,1,1,HR,Not Hired
62,Female,White,Divorced,High School,9,5,6,Management,Hired
51,Non-Binary,Other,Divorced,High School,26,5,10,HR,Hired
40,Male,White,Married,Master's,7,7,6,Sales,Hired
54,Non-Binary,Hispanic,Single,Bachelor's,35,7,10,Sales,Hired
28,Non-Binary,Hispanic,Married,Bachelor's,34,6,6,Engineer,Hired
23,Prefer not to say,Other,Divorced,Bachelor's,35,8,3,Management,Hired
35,Male,Hispanic,Single,High School,35,2,6,Sales,Hired
38,Non-Binary,Black,Single,Bachelor's,24,7,3,Engineer,Hired
59,Non-Binary,White,Single,PhD,19,10,10,Marketing,Hired
53,Male,Black,Married,High School,16,7,9,Sales,Hired
58,Prefer not to say,Hispanic,Married,Master's,22,4,7,Engineer,Hired
55,Non-Binary,Prefer not to say,Divorced,Master's,24,10,4,HR,Not Hired
51,Female,White,Single,Bachelor's,30,2,3,Engineer,Not Hired
34,Non-Binary,Black,Single,High School,5,4,6,Sales,Not Hired
54,Female,Other,Married,PhD,34,4,9,HR,Hired
42,Prefer not to say,Black,Divorced,PhD,3,6,3,HR,Not Hired
55,Non-Binary,Prefer not to say,Divorced,High School,39,7,8,Engineer,Hired
29,Male,Hispanic,Single,Bachelor's,19,3,6,Engineer,Not Hired
40,Male,White,Married,Master's,40,10,4,Sales,Hired
59,Non-Binary,Other,Single,Master's,0,1,5,HR,Not Hired
39,Prefer not to say,White,Married,PhD,25,3,3,Management,Not Hired
38,Prefer not to say,Other,Divorced,PhD,33,9,2,Engineer,Not Hired
44,Male,White,Single,PhD,9,1,9,Management,Not Hired
48,Non-Binary,Hispanic,Single,Master's,22,8,3,Management,Not Hired
23,Prefer not to say,Other,Single,PhD,23,2,6,HR,Hired
44,Male,Asian,Divorced,Master's,12,6,5,Sales,Not Hired
57,Female,White,Single,Master's,28,3,10,Management,Hired
51,Non-Binary,White,Divorced,Bachelor's,26,7,8,Sales,Hired
29,Female,Black,Married,Bachelor's,30,2,5,Engineer,Not Hired
62,Female,Other,Divorced,Bachelor's,9,4,8,HR,Not Hired
24,Prefer not to say,Prefer not to say,Married,PhD,30,10,5,Marketing,Hired
27,Prefer not to say,Asian,Divorced,Master's,38,9,10,HR,Hired
62,Prefer not to say,Hispanic,Divorced,PhD,9,6,6,Marketing,Hired
34,Non-Binary,Black,Single,Master's,23,4,5,Engineer,Not Hired
43,Female,Asian,Divorced,Bachelor's,32,2,2,Sales,Not Hired
38,Non-Binary,Other,Single,Bachelor's,13,10,10,Engineer,Hired
45,Prefer not to say,Asian,Married,PhD,34,9,10,HR,Hired
63,Female,White,Married,Master's,33,4,6,Marketing,Hired
19,Non-Binary,White,Single,PhD,16,9,7,Marketing,Hired
60,Non-Binary,Black,Married,High School,20,2,3,HR,Not Hired
18,Male,Other,Divorced,PhD,31,7,3,HR,Hired
53,Non-Binary,Other,Single,Bachelor's,2,5,7,Engineer,Not Hired
43,Prefer not to say,Asian,Single,Master's,14,8,10,Management,Hired
46,Non-Binary,Black,Single,Master's,7,8,4,Marketing,Hired
38,Female,Other,Married,PhD,31,4,2,HR,Not Hired
28,Non-Binary,Prefer not to say,Married,Bachelor's,37,4,9,Engineer,Hired
57,Male,Prefer not to say,Divorced,High School,25,8,9,Management,Hired
28,Female,White,Divorced,PhD,29,3,6,Sales,Not Hired
53,Female,Asian,Single,Master's,8,7,2,HR,Not Hired
56,Male,Hispanic,Divorced,Bachelor's,31,8,3,Management,Hired
57,Prefer not to say,White,Married,Master's,10,8,5,Sales,Not Hired
52,Female,Black,Divorced,Master's,21,10,5,Sales,Hired
51,Prefer not to say,Other,Married,Master's,33,4,9,Engineer,Hired
64,Female,White,Divorced,Master's,40,9,10,Marketing,Hired
41,Female,Hispanic,Married,High School,17,10,3,HR,Hired
39,Prefer not to say,Hispanic,Married,Bachelor's,18,4,2,Management,Not Hired
22,Female,Prefer not to say,Divorced,PhD,17,8,10,Sales,Hired
50,Prefer not to say,Black,Divorced,Bachelor's,36,6,8,Marketing,Hired
53,Male,White,Married,Bachelor's,17,5,7,Sales,Not Hired
64,Prefer not to say,Asian,Single,Bachelor's,11,4,9,HR,Hired
37,Male,White,Divorced,PhD,3,5,3,HR,Not Hired
36,Female,Prefer not to say,Married,Bachelor's,26,1,6,Engineer,Hired
52,Prefer not to say,Hispanic,Divorced,PhD,4,7,5,HR,Hired
60,Female,Black,Divorced,PhD,5,8,5,HR,Not Hired
34,Prefer not to say,Black,Divorced,High School,12,9,10,HR,Hired
62,Male,Asian,Divorced,Master's,22,3,8,Marketing,Hired
60,Male,Black,Divorced,PhD,24,9,1,Management,Hired
51,Prefer not to say,Prefer not to say,Single,Master's,3,10,1,Management,Not Hired
26,Male,Prefer not to say,Single,Bachelor's,31,5,3,HR,Not Hired
43,Female,Prefer not to say,Single,Master's,14,10,2,Management,Not Hired
19,Female,Black,Married,Master's,25,6,2,HR,Hired
26,Non-Binary,Black,Single,Master's,10,1,2,Management,Not Hired
26,Male,Prefer not to say,Single,Bachelor's,8,9,4,Management,Not Hired
57,Female,Black,Married,Bachelor's,10,9,1,Sales,Hired
34,Prefer not to say,Black,Single,PhD,1,6,10,Marketing,Not Hired
18,Male,Hispanic,Divorced,PhD,26,8,9,Sales,Hired
42,Female,White,Single,High School,25,4,5,Sales,Not Hired
60,Male,Other,Single,Bachelor's,7,5,5,Management,Not Hired
57,Prefer not to say,Black,Single,High School,20,5,9,Engineer,Hired
59,Female,Other,Divorced,Bachelor's,20,7,5,Engineer,Not Hired
42,Non-Binary,Other,Divorced,Master's,7,7,8,Marketing,Not Hired
56,Non-Binary,Hispanic,Divorced,High School,0,7,1,HR,Not Hired
52,Male,Black,Divorced,High School,37,5,1,Management,Hired
20,Prefer not to say,Prefer not to say,Married,High School,12,4,4,Marketing,Not Hired
54,Female,Other,Divorced,Bachelor's,8,8,8,Sales,Hired
61,Prefer not to say,Black,Divorced,PhD,27,1,3,Management,Not Hired
61,Female,Asian,Divorced,High School,5,1,1,Sales,Not Hired
47,Male,Prefer not to say,Divorced,PhD,22,6,9,Marketing,Hired
55,Female,Asian,Married,Bachelor's,35,2,9,Engineer,Not Hired
